Proposal_ID,Sampling_Set,Core_Section,Sample_Name,ROI_volume_voxel,voxel_size_mm_per_voxel,connected_pores_percent,pore_diameter_min_mm,pore_diameter_max_mm,pore_diameter_mean_mm,pore_diameter_median_mm,pore_diameter_variance_mm2,pore_volume_mean_mm3,total_pore_volume_percent,permeability_x_um2,flow_rate_x_mm3_per_sec,tortuosity_x,permeability_y_um2,flow_rate_y_mm3_per_sec,tortuosity_y,permeability_z_um2,flow_rate_z_mm3_per_sec,tortuosity_z,flag_XCT
60846,12,BTM,60846_12_BTM,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60846,12,TOP,60846_12_TOP,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60846,17,BTM,60846_17_BTM,2348935016,0.0381,75.061902,4.73E-02,20.75259972,0.083767712,5.96E-02,6.38E-03,1.10E-02,4.78176,7.34E+00,1.13E+02,1.820520259,2.94E+03,4.81E+04,1.3803721,3.90E+00,3.69E+01,1.7788831,
60846,17,TOP,60846_17_TOP,2348935016,0.0381,74.089217,4.73E-02,21.28768349,0.086426675,5.96E-02,6.30E-03,9.42E-03,5.22902,5.28E+00,8.10E+01,1.819469365,9.01E+00,1.48E+02,1.7103078,1.78E+00,1.69E+01,1.7380185,
60846,2,BTM,60846_2_BTM,2348935016,0.0381,39.136941,4.73E-02,11.64833641,0.080046751,5.88E-02,9.03E-03,1.15E-02,1.62179,1.85E-02,9.03E+01,1.80878499,9.39E+00,1.39E+02,1.439852,3.84E-01,3.85E+00,1.4971386,
60846,2,TOP,60846_2_TOP,2348935016,0.0381,78.838656,4.73E-02,22.67028809,0.068860993,4.73E-02,4.49E-03,8.58E-03,5.93502,1.82E+01,2.78E+02,1.790525714,3.92E+01,6.45E+02,1.7261596,6.65E+00,6.31E+01,1.8133539,
60846,5,BTM,60846_5_BTM,2348935016,0.0381,70.271742,4.73E-02,36.71190643,0.061570171,4.73E-02,1.28E-02,1.64E-01,28.2768,8.81E+00,6.83E+01,1.841503725,2.94E+04,2.72E+05,1.6512561,3.58E+04,6.02E+05,1.8115229,
60846,5,TOP,60846_5_TOP,2348935016,0.0381,91.385,4.73E-02,39.08856583,0.063253939,4.73E-02,3.28E-03,2.39E-02,26.246,1.51E+05,2.31E+06,1.496908055,3.18E+04,5.21E+05,1.4905028,9.93E+01,9.43E+02,1.5468938,
60846,7,BTM,60846_7_BTM,2348935016,0.0381,NA,4.73E-02,9.9691782,0.091454163,5.97E-02,8.85E-03,6.65E-03,1.37919,NA,NA,NA,NA,NA,NA,NA,NA,NA,No_Pore_Connectivity
60846,7,TOP,60846_7_TOP,2348935016,0.0381,72.596254,4.73E-02,22.25255585,0.07844115,5.34E-02,6.25E-03,1.02E-02,6.09559,2.62E+02,4.02E+03,1.475833103,2.16E+02,3.55E+03,1.4709985,4.82E-01,4.58E+00,1.8898069,
60880,1,BTM,60880_1_BTM,2348935016,0.0381,94.508606,4.73E-02,32.2364044,0.065907076,4.73E-02,3.00E-03,1.41E-02,14.235,1.13E+03,1.74E+04,1.709916538,6.21E+02,1.02E+04,1.8163341,1.02E+03,9.78E+03,1.6408457,
60880,1,TOP,60880_1_TOP,2348935016,0.0381,83.790858,4.73E-02,25.273098,0.086834863,6.01E-02,1.11E-02,4.08E-02,7.73693,9.68E+02,1.49E+04,1.598864467,7.74E+02,1.27E+04,1.6045041,7.59E-01,7.22E+00,1.7952603,
60880,2,BTM,60880_2_BTM,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60880,2,TOP,60880_2_TOP,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60880,3,BTM,60880_3_BTM,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60880,3,TOP,60880_3_TOP,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60880,4,BTM,60880_4_BTM,2348935016,0.0381,NA,4.73E-02,9.9802351,0.070167512,4.89E-02,4.21E-03,5.50E-03,1.40517,NA,NA,NA,NA,NA,NA,NA,NA,NA,No_Pore_Connectivity
60880,4,TOP,60880_4_TOP,2348935016,0.0381,20.846633,0.047327437,11.252841,0.094753869,0.059710402,0.011777349,0.011777349,2.74499,4.36E-02,4.80E-01,1.479515918,1.68E+03,1.86E+04,1.2411911,3.66E-01,4.70E+00,1.1283076,
60880,5,BTM,60880_5_BTM,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60880,5,TOP,60880_5_TOP,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60880,6,BTM,60880_6_BTM,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60880,6,TOP,60880_6_TOP,,,,,,,,,,,,,,,,,,,,Data_Not_Available
60881,1,BTM,60881_1_BTM,2348935016,0.01381457,85.7923,4.73E-02,27.7767868,0.069682926,5.96E-02,1.81E-03,3.56E-03,10.032,1.40E+02,2.15E+03,1.781461837,1.57E+02,2.57E+03,1.7470144,1.11E+03,1.05E+04,1.5092967,
60881,1,TOP,60881_1_TOP,2348935016,0.0381457,93.7959,4.73E-02,31.1280727,0.071384721,5.96E-02,2.32E-03,9.11E-03,12.914,5.26E+02,8.06E+03,1.695785754,6.11E+02,1.00E+04,1.7360327,1.09E+03,1.04E+04,1.5633842,
60881,2,BTM,60881_2_BTM,2348935016,0.0381457,92.4723,4.73E-02,32.0511475,0.076972902,5.96E-02,3.44E-03,1.17E-02,14.2991,1.48E+02,2.28E+03,1.779603046,1.78E+02,2.93E+03,1.7643788,5.28E+02,5.03E+03,1.518353,
60881,2,TOP,60881_2_TOP,2348935016,0.0381457,95.8518,4.73E-02,36.0533485,0.077156335,6.01E-02,3.04E-03,1.67E-02,19.6348,3.01E+03,4.63E+04,1.740295757,2.14E+03,3.52E+04,1.7098964,1.95E+03,1.85E+04,1.5772527,
60881,3,BTM,60881_3_BTM,2348935016,0.0381457,93.1946,4.73E-02,32.5665131,0.072540969,5.96E-02,2.48E-03,8.95E-03,14.8838,2.32E+02,3.57E+03,1.740930915,2.38E+02,3.90E+03,1.7381285,6.65E+02,6.32E+03,1.5185913,
60881,3,TOP,60881_3_TOP,2348935016,0.0381457,87.79216,4.73E-02,28.9252949,0.072974525,5.96E-02,2.23E-03,5.29E-03,11.0542,1.77E+02,2.72E+03,1.722497231,1.60E+02,2.63E+03,1.7613937,2.41E+02,2.29E+03,1.5611347,
60881,4,BTM,60881_4_BTM,2348935016,0.0381,71.0501,4.96E-02,22.3983879,0.074303061,0.049552772,0.00359108,0.003948557,6.3515,4.67E+00,7.14E+01,1.839222732,6.93E+00,1.14E+02,1.851989,1.49E+01,1.42E+02,1.4647363,
