Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density
61049,14,TOP,61049_14_TOP,0.06,
61049,14,BTM,61049_14_BTM,0.26,
61049,16,TOP,61049_16_TOP,0.21,
61049,16,BTM,61049_16_BTM,1.86,
61049,17,TOP,61049_17_TOP,0.12,
61049,17,BTM,61049_17_BTM,0.83,
61049,18,TOP,61049_18_TOP,1.55,
61049,18,BTM,61049_18_BTM,1.16,
61049,19,TOP,61049_19_TOP,1.43,
61049,19,BTM,61049_19_BTM,0.98,
61049,20,TOP,61049_20_TOP,1.5,
61049,20,BTM,61049_20_BTM,1.33,
61049,21,TOP,61049_21_TOP,1.11,
61049,21,BTM,61049_21_BTM,0.99,
61049,22,TOP,61049_22_TOP,0.98,
61049,22,BTM,61049_22_BTM,1.3,
61049,24,TOP,61049_24_TOP,1.49,
61049,24,BTM,61049_24_BTM,2.19,
61049,25,TOP,61049_25_TOP,0.85,
61049,25,BTM,61049_25_BTM,2.24,
61049,26,TOP,61049_26_TOP,1.76,
61049,26,BTM,61049_26_BTM,1.46,
61049,27,TOP,61049_27_TOP,1.83,
61049,27,BTM,61049_27_BTM,1.5,
61049,28,TOP,61049_28_TOP,1.74,
61049,28,BTM,61049_28_BTM,1.54,
61049,29,TOP,61049_29_TOP,1.76,
61049,29,BTM,61049_29_BTM,1.69,
61078,1,TOP,61078_1_TOP,2.1,
61078,1,BTM,61078_1_BTM,1.67,
61078,2,TOP,61078_2_TOP,2.25,
61078,2,BTM,61078_2_BTM,1.61,
61078,3,TOP,61078_3_TOP,1.32,
61078,3,BTM,61078_3_BTM,1.58,
61078,4,TOP,61078_4_TOP,1.25,
61078,4,BTM,61078_4_BTM,1.49,
61078,5,TOP,61078_5_TOP,2.32,
61078,5,BTM,61078_5_BTM,1.28,
61078,6,TOP,61078_6_TOP,1.41,
61078,6,BTM,61078_6_BTM,1.26,
61078,7,TOP,61078_7_TOP,1.54,
61078,7,BTM,61078_7_BTM,0.97,
61078,8,TOP,61078_8_TOP,1.28,
61078,8,BTM,61078_8_BTM,1.13,
