"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","Bulk_Density","flag_Bulk_density"
"61049","30","TOP","61049_30_TOP",1.85,
"61049","30","BTM","61049_30_BTM",1.6,
"61049","31","TOP","61049_31_TOP",1.52,
"61049","31","BTM","61049_31_BTM",1.26,
"61049","32","TOP","61049_32_TOP",0.61,
"61049","32","BTM","61049_32_BTM",0.52,
"61049","33","TOP","61049_33_TOP",0.62,
"61049","33","BTM","61049_33_BTM",1.59,
"61049","35","TOP","61049_35_TOP",2.63,
"61049","35","BTM","61049_35_BTM",2.09,
"61049","36","TOP","61049_36_TOP",0.76,
"61049","36","BTM","61049_36_BTM",1.15,
"61049","37","TOP","61049_37_TOP",2.08,
"61049","37","BTM","61049_37_BTM",1.48,
"61049","43","TOP","61049_43_TOP",,
"61049","43","BTM","61049_43_BTM",,
"61049","45","TOP","61049_45_TOP",1.42,
"61049","45","BTM","61049_45_BTM",1.2,
"61049","48","TOP","61049_48_TOP",,
"61049","48","BTM","61049_48_BTM",,
"61558","3","TOP","61558_3_TOP",0.81,
"61558","3","BTM","61558_3_BTM",1.07,
"61558","4","TOP","61558_4_TOP",1.11,
"61558","4","BTM","61558_4_BTM",1.15,
"61558","5","TOP","61558_5_TOP",0.81,
"61558","5","BTM","61558_5_BTM",0.91,
"61558","6","TOP","61558_6_TOP",0.52,
"61558","6","BTM","61558_6_BTM",1.38,
"61558","7","TOP","61558_7_TOP",,
"61558","7","BTM","61558_7_BTM",,
"61558","8","TOP","61558_8_TOP",,
"61558","8","BTM","61558_8_BTM",,
"61608","1","TOP","61608_1_TOP",0.41,
"61608","1","BTM","61608_1_BTM",1.4,
"61608","2","TOP","61608_2_TOP",0.95,
"61608","2","BTM","61608_2_BTM",1.71,
"61608","3","TOP","61608_3_TOP",0.49,
"61608","3","BTM","61608_3_BTM",1.66,
"61608","4","TOP","61608_4_TOP",0.32,
"61608","4","BTM","61608_4_BTM",0.39,
"61608","5","TOP","61608_5_TOP",0.57,
"61608","5","BTM","61608_5_BTM",1.64,
"61608","6","TOP","61608_6_TOP",0.75,
"61608","6","BTM","61608_6_BTM",0.66,
"61608","7","TOP","61608_7_TOP",0.32,
"61608","7","BTM","61608_7_BTM",0.75,
"61608","8","TOP","61608_8_TOP",0.76,
"61608","8","BTM","61608_8_BTM",1.38,
"61608","9","TOP","61608_9_TOP",0.95,
"61608","9","BTM","61608_9_BTM",1.19,
"61609","1","TOP","61609_1_TOP",1.66,
"61609","1","BTM","61609_1_BTM",1.83,
"61609","2","TOP","61609_2_TOP",1.84,
"61609","2","BTM","61609_2_BTM",1.34,
"61609","3","TOP","61609_3_TOP",2.32,
"61609","3","BTM","61609_3_BTM",1.62,
"61610","1","TOP","61610_1_TOP",1.33,
"61610","1","BTM","61610_1_BTM",0.89,
"61610","2","TOP","61610_2_TOP",0.36,
"61610","2","BTM","61610_2_BTM",0.23,
"61610","3","TOP","61610_3_TOP",0.33,
"61610","3","BTM","61610_3_BTM",0.19,
"61610","4","TOP","61610_4_TOP",0.37,
"61610","4","BTM","61610_4_BTM",0.53,
"61610","5","TOP","61610_5_TOP",0.5,
"61610","5","BTM","61610_5_BTM",0.37,
"61610","6","TOP","61610_6_TOP",0.38,
"61610","6","BTM","61610_6_BTM",0.22,
"61610","7","TOP","61610_7_TOP",0.47,
"61610","7","BTM","61610_7_BTM",0.4,
"61610","8","TOP","61610_8_TOP",0.43,
"61610","8","BTM","61610_8_BTM",0.29,
