"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","pH","flag_pH"
"61049","30","TOP","61049_30_TOP",6.48,
"61049","30","BTM","61049_30_BTM",6.05,
"61049","31","TOP","61049_31_TOP",6.72,
"61049","31","BTM","61049_31_BTM",5.44,
"61049","32","TOP","61049_32_TOP",4.45,
"61049","32","BTM","61049_32_BTM",4.36,
"61049","33","TOP","61049_33_TOP",6.43,
"61049","33","BTM","61049_33_BTM",6.58,
"61049","35","TOP","61049_35_TOP",7.55,
"61049","35","BTM","61049_35_BTM",8.06,
"61049","36","TOP","61049_36_TOP",6.15,
"61049","36","BTM","61049_36_BTM",6.13,
"61049","37","TOP","61049_37_TOP",6.61,
"61049","37","BTM","61049_37_BTM",6.47,
"61049","43","TOP","61049_43_TOP",8.65,
"61049","43","BTM","61049_43_BTM",8.39,
"61049","45","TOP","61049_45_TOP",6.26,
"61049","45","BTM","61049_45_BTM",6.72,
"61049","48","TOP","61049_48_TOP",3.63,
"61049","48","BTM","61049_48_BTM",4.24,
"61558","3","TOP","61558_3_TOP",6.21,
"61558","3","BTM","61558_3_BTM",6.66,
"61558","4","TOP","61558_4_TOP",6.46,
"61558","4","BTM","61558_4_BTM",6.38,
"61558","5","TOP","61558_5_TOP",5.96,
"61558","5","BTM","61558_5_BTM",5.49,
"61558","6","TOP","61558_6_TOP",5.89,
"61558","6","BTM","61558_6_BTM",6.03,
"61558","7","TOP","61558_7_TOP",6.1,
"61558","7","BTM","61558_7_BTM",5.66,
"61558","8","TOP","61558_8_TOP",5.69,
"61558","8","BTM","61558_8_BTM",6.18,
"61608","1","TOP","61608_1_TOP",4.12,
"61608","1","BTM","61608_1_BTM",4.89,
"61608","2","TOP","61608_2_TOP",5.48,
"61608","2","BTM","61608_2_BTM",5.37,
"61608","3","TOP","61608_3_TOP",4.39,
"61608","3","BTM","61608_3_BTM",5.21,
"61608","4","TOP","61608_4_TOP",3.85,
"61608","4","BTM","61608_4_BTM",4.72,
"61608","5","TOP","61608_5_TOP",5,
"61608","5","BTM","61608_5_BTM",5.04,
"61608","6","TOP","61608_6_TOP",6.12,
"61608","6","BTM","61608_6_BTM",6.48,
"61608","7","TOP","61608_7_TOP",3.47,
"61608","7","BTM","61608_7_BTM",3.48,
"61608","8","TOP","61608_8_TOP",4.67,
"61608","8","BTM","61608_8_BTM",4.81,
"61608","9","TOP","61608_9_TOP",5.05,
"61608","9","BTM","61608_9_BTM",5.45,
"61609","1","TOP","61609_1_TOP",7.77,
"61609","1","BTM","61609_1_BTM",8.03,
"61609","2","TOP","61609_2_TOP",8.18,
"61609","2","BTM","61609_2_BTM",8.29,
"61609","3","TOP","61609_3_TOP",7.82,
"61609","3","BTM","61609_3_BTM",8.23,
"61610","1","TOP","61610_1_TOP",5.16,
"61610","1","BTM","61610_1_BTM",5.2,
"61610","2","TOP","61610_2_TOP",5.77,
"61610","2","BTM","61610_2_BTM",6.13,
"61610","3","TOP","61610_3_TOP",5.95,
"61610","3","BTM","61610_3_BTM",6.1,
"61610","4","TOP","61610_4_TOP",5.87,
"61610","4","BTM","61610_4_BTM",5.82,
"61610","5","TOP","61610_5_TOP",5.88,
"61610","5","BTM","61610_5_BTM",5.99,
"61610","6","TOP","61610_6_TOP",5.95,
"61610","6","BTM","61610_6_BTM",6.43,
"61610","7","TOP","61610_7_TOP",5.28,
"61610","7","BTM","61610_7_BTM",6.53,
"61610","8","TOP","61610_8_TOP",6.28,
"61610","8","BTM","61610_8_BTM",6.74,
"61610","9","TOP","61610_9_TOP",6.85,
"61610","9","BTM","61610_9_BTM",,
"61611","1","TOP","61611_1_TOP",5.9,
"61611","1","BTM","61611_1_BTM",5.31,
