Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density,Total_Carbon_percent,Total_Nitrogen_percent,Total_Sulfur_percent,flag_TS,flag_TC,flag_TN,Beta_Glucosidase_ug_pNP_per_g_per_h,flag_Beta_Glucosidase,GWC_percent,flag_GWC,HClExtOM_TOC_mg_per_kg,flag_HClExtOM_TOC,HClExtOM_TN_mg_per_kg,flag_HClExtOM_TN,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,CEC_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,flag_Ca,flag_Mg,flag_Na,flag_K,flag_CEC,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,MBC_mg_per_kg,flag_MBC,MBN_mg_per_kg,flag_MBN,PO4_P_mg_per_kg,flag_P,pH,flag_pH,Sand_percent,Silt_percent,Clay_percent,flag_Texture,WEOM_TOC_mg_per_kg,flag_WEOM_TOC,WEOM_TN_mg_per_kg,flag_WEOM_TN
60846,12,TOP,60846_12_TOP,0.59,,8.18,0.56,0.07,,,,54,,62.47,,2990.54,,152.9,,7.75,0.66,0.18,0.14,46.84,24,0.49,0.5,5.3,0.1,272,,,,,,,,,,,,,Failed_QC,,Failed_QC,,Failed_QC,5.05,,32.9,36,31.2,,76.14,,8.48,
60846,12,BTM,60846_12_BTM,1.05,,1.72,0.1,0.01,,,,,Below_Detection,27.52,,1006.12,,47.97,,6.79,0.61,0.09,0.05,20.1,18,0.6,0.2,8.8,0.2,211,,,,,,,,,,,,,Failed_QC,,Failed_QC,3.01,,4.97,,16.7,38.3,45.1,,51.07,,4.64,
60846,17,TOP,60846_17_TOP,0.81,,3.4,0.16,0,Below_Reporting_Limit,,,17,,29.33,,1744.35,,57.93,,0.68,0.25,0.08,0.07,17.32,13,1.64,0.4,1.6,0.3,625,,,,,,,,,,,,,Failed_QC,,Failed_QC,0.93,,4.63,,30.6,42.3,27.2,,33.54,,1.28,
60846,17,BTM,60846_17_BTM,1.45,,0.48,0.06,0,Below_Reporting_Limit,,,7.8,,18.92,,577.13,,19.5,,0.66,0.43,0.09,0.03,9.46,33,0.82,0.2,2.2,0.3,259,,,,,,,,,,,,,Failed_QC,,Failed_QC,3.82,,4.59,,28.8,36.2,35.1,,12.67,,0.79,
60846,2,TOP,60846_2_TOP,0.85,,7.34,0.3,0.01,,,,15.1,,43,,984.73,,36.99,,1.35,0.58,0.09,0.13,21.21,4,0.53,1.1,2.8,0.2,262,,,,,,,,,,,,,Failed_QC,,Failed_QC,0.13,,4.93,,18.7,47.9,33.4,,43.13,,2.28,
60846,2,BTM,60846_2_BTM,1.39,,0.51,0.09,0.01,,,,4.1,,24.11,,505.72,,32.72,,1,0.54,0.09,0.07,12.29,52,0.02,0.3,0.1,0.3,12,,,,,,,,,,,,,Failed_QC,,Failed_QC,0.78,,4.9,,12.7,40,47.4,,19.15,,1.47,
60846,5,TOP,60846_5_TOP,0.37,,6.26,0.36,0.05,,,,178.4,,253.1,,2143.58,,157.7,,1.38,0.37,0.09,0.08,29.04,24,0.32,0.1,0.9,0.4,196,,,,,,,,,,,,,Failed_QC,,Failed_QC,,Failed_QC,4.79,,,,,Insufficient_material,202.62,,10.83,
60846,5,BTM,60846_5_BTM,0.71,,2.05,0.14,0.01,,,,22.7,,40.01,,1185.26,,48.24,,1.29,0.33,0.11,0.05,11.62,42,2.02,0.7,1.1,0.4,715,,,,,,,,,,,,,Failed_QC,,Failed_QC,1.56,,4.81,,16.7,45.9,37.5,,60.22,,3.25,
60846,7,TOP,60846_7_TOP,0.89,,2.8,0.14,0.01,,,,15.5,,31.99,,1544.35,,64.5,,0.33,0.16,0.01,0.05,18.95,32,1.25,0.6,0.6,0.1,408,,,,,,,,,,,,,Failed_QC,,Failed_QC,0.71,,4.26,,54.6,28,17.4,,58.59,,2.9,
60846,7,BTM,60846_7_BTM,1.18,,0.46,0.08,0,Below_Reporting_Limit,,,,Below_Detection,20.62,,466.84,,20.12,,0.48,0.21,0.02,0.06,10.46,119,0.08,0.01,0.3,0.4,16,,,,,,,,,,,,,Failed_QC,,Failed_QC,,Failed_QC,4.52,,34.7,24,41.4,,22.65,,1.3,
60880,1,TOP,60880_1_TOP,1.45,,2.97,0.27,0.05,,,,215.5,,16.61,,1380.05,,85.04,,19.01,3.16,0.14,0.51,46.31,5,0.17,1.2,9.4,1.1,132,,,,,,,,,,,,,Failed_QC,,Failed_QC,3.41,,5.41,,7.5,22.8,69.7,,82.94,,11.78,
60880,1,BTM,60880_1_BTM,1.53,,,,,Insufficient_material,Insufficient_material,Insufficient_material,,Insufficient_material,16.78,,784.48,,42.61,,,,,,,,,,,,,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,,Failed_QC,,Failed_QC,0.5,,5.38,,,,,Insufficient_material,22.66,,2.79,
60880,2,TOP,60880_2_TOP,0.41,,2.58,0.21,0.03,,,,57.1,,23.56,,1056.97,,53.71,,19.84,0.92,0.1,0.29,18.56,5,0.28,0.4,1.4,0.5,23,,,,,,,,,,,,533.47,,20.25,,0.26,,6.61,,45.6,22.1,32.4,,31.06,,3.26,
60880,2,BTM,60880_2_BTM,,Data_not_available,3.37,0.23,0.04,,,,68.9,,19.71,,995.58,,28.22,,21.66,1.18,0.11,0.32,18.57,3,0.25,0.4,1.2,0.4,23,,,,,,,,,,,,459.06,,10.14,,3.35,,7.8,,39.1,26.7,34.3,,16.58,,2.38,
60880,3,TOP,60880_3_TOP,0.15,,,,,Insufficient_material,Insufficient_material,Insufficient_material,,Insufficient_material,19.21,,876.27,,50.09,,,,,,,,,,,,,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,76.4,,13.3,,0.2,,5.39,,,,,Insufficient_material,97.46,,8.91,
60880,3,BTM,60880_3_BTM,0.46,,,,,Insufficient_material,Insufficient_material,Insufficient_material,,Insufficient_material,22.96,,915.41,,17.8,,,,,,,,,,,,,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,Insufficient_material,25.16,,3.18,,3.51,,5.49,,,,,Insufficient_material,53.06,,3.58,
60880,4,TOP,60880_4_TOP,1.16,,1.94,0.18,0.02,,,,42.5,,27.71,,996.71,,47.53,,8.35,1.51,0.18,0.2,12.57,7,0.18,0.4,1.2,0.6,155,,,,,,,,,,,,52.28,,10.42,,0.4,,6.28,,,,,Insufficient_material,27.61,,2.08,
