Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density,Beta_Glucosidase_ug_pNP_per_g_per_h,flag_Beta_Glucosidase,GWC_percent,flag_GWC,HClExtOM_TOC_mg_per_kg,flag_HClExtOM_TOC,HClExtOM_TN_mg_per_kg,flag_HClExtOM_TN,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,flag_Ca,flag_Mg,flag_Na,flag_K,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,MBC_mg_per_kg,flag_MBC,MBN_mg_per_kg,flag_MBN,NO3_N_mg_per_kg,flag_NO3N,NH4_N_mg_per_kg,flag_NH4N,PO4_P_mg_per_kg,flag_P,pH,flag_pH,Sand_percent,Silt_percent,Clay_percent,flag_Texture,WEOM_TOC_mg_per_kg,flag_WEOM_TOC,WEOM_TN_mg_per_kg,flag_WEOM_TN
61049,14,TOP,61049_14_TOP,0.06,,,Insufficient_material,550.89,,15179.16,,537.4,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,2584.46,,249.26,,,In_queue,,In_queue,,In_queue,5.82,,,,,Insufficient_material,1207.55,,58.79,
61049,14,BTM,61049_14_BTM,0.26,,,Insufficient_material,309.9,,6349.31,,322.25,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,547.52,,39.92,,,In_queue,,In_queue,,In_queue,5.82,,,,,Insufficient_material,757.3,,29.05,
61049,16,TOP,61049_16_TOP,0.21,,,Insufficient_material,114.46,,12679.1,,526.81,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,1307.57,,127.18,,,In_queue,,In_queue,,In_queue,4.42,,,,,Insufficient_material,2375.73,,63.91,
61049,16,BTM,61049_16_BTM,1.86,,,,17.28,,764.82,,28.27,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,76.76,,3.07,,,In_queue,,In_queue,,In_queue,5.9,,42.1,40.3,17.7,,59.31,,1.96,
61049,17,TOP,61049_17_TOP,0.12,,,Insufficient_material,596.91,,50752.53,,1350.52,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,2073.58,,184.35,,,In_queue,,In_queue,,In_queue,4.37,,,,,Insufficient_material,4455.31,,119.92,
61049,17,BTM,61049_17_BTM,0.83,,,Insufficient_material,108.37,,2816.64,,112.28,,,,,,,,,,,,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,In_queue,155.63,,9.07,,,In_queue,,In_queue,,In_queue,5.33,,,,,Insufficient_material,307.98,,8.59,
61049,18,TOP,61049_18_TOP,1.55,,52.9,,10.08,,438.8,,38.37,,6.8,1.68,0.1,0.54,3,0.21,0.54,14.9,0.8,29,,,,,,,,,,,83.31,,17.01,,,In_queue,,In_queue,74.38,,6.1,,59.2,20.8,20.1,,26.55,,6.75,
61049,18,BTM,61049_18_BTM,1.16,,45.8,,9.86,,388.09,,25.37,,5.7,1.26,0.09,0.56,6,0.21,0.68,15.8,0.7,36,,,,,,,,,,,92.79,,18.74,,,In_queue,,In_queue,63.11,,6.07,,65,15,20.1,,25.64,,4.84,
61049,19,TOP,61049_19_TOP,1.43,,397.4,,8.37,,623.99,,57.62,,7.14,0.81,0.01,0.46,3,0.17,2.2,5.9,0.3,35,,,,,,,,,,,329.88,,55.66,,,In_queue,,In_queue,72.18,,6.21,,62.4,22,15.7,,89.17,,14.88,
61049,19,BTM,61049_19_BTM,0.98,,72.2,,5.56,,502.28,,37.72,,4.29,0.44,0.02,0.51,1,0.13,0.8,3.6,0.2,27,,,,,,,,,,,110.92,,18.55,,,In_queue,,In_queue,74.47,,6.58,,62.4,22.1,15.6,,37.5,,4.24,
