Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,Beta_Glucosidase_ug_pNP_per_g_per_h,GWC_percent,HClExtOM_TOC_mg_per_kg,HClExtOM_TN_mg_per_kg,Ca_meq_per_100g,Mg_meq_per_100g,Na_meq_per_100g,K_meq_per_100g,SO4_S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,MBC_mg_per_kg,MBN_mg_per_kg,NO3_N_mg_per_kg,NH4_N_mg_per_kg,PO4_P_mg_per_kg,pH,Sand_percent,Silt_percent,Clay_percent,WEOM_TOC_mg_per_kg,WEOM_TN_mg_per_kg,flag_Bulk_density,flag_Beta_Glucosidase,flag_GWC,flag_HClExtOM_TOC,flag_HClExtOM_TN,flag_Ca,flag_Mg,flag_Na,flag_K,flag_SO4S,flag_B,flag_Zn,flag_Mn,flag_Cu,flag_Fe,flag_MBC,flag_MBN,flag_NO3N,flag_NH4N,flag_P,flag_pH,flag_Texture,flag_WEOM_TOC,flag_WEOM_TN
61049,14,TOP,61049_14_TOP,0.06,,550.89,15179.16,537.4,,,,,,,,,,,2584.46,249.26,,,0.68,5.82,,,,1207.55,58.79,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61049,14,BTM,61049_14_BTM,0.26,,309.9,6349.31,322.25,,,,,,,,,,,547.52,39.92,,,2.18,5.82,,,,757.3,29.05,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61049,15,TOP,61049_15_TOP,0.12,,532.79,,,,,,,,,,,,,4009.92,413.88,,,45.91,3.78,,,,,,,Insufficient_Material,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,Insufficient_Material
61049,15,BTM,61049_15_BTM,0.23,,226.59,,,1.7,0.72,0.06,0.11,16,0.08,4.96,15.2,4.8,720,520.05,42.97,0.3,2.6,8.51,4.06,,,,,,,Insufficient_Material,,Insufficient_Material,Insufficient_Material,,,,,,,,,,,,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material
61049,16,TOP,61049_16_TOP,0.21,,114.46,12679.1,526.81,,,,,,,,,,,1307.57,127.18,,,31.27,4.42,,,,2375.73,63.91,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61049,16,BTM,61049_16_BTM,1.86,,17.28,764.82,28.27,4.5,1.77,0.09,0.11,3,0.12,0.07,5.9,1.8,83,76.76,3.07,0.2,1.3,0.17,5.9,42.1,40.3,17.7,59.31,1.96,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,,,
61049,17,TOP,61049_17_TOP,0.12,,596.91,50752.53,1350.52,,,,,,,,,,,2073.58,184.35,,,14.31,4.37,,,,4455.31,119.92,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61049,17,BTM,61049_17_BTM,0.83,,108.37,2816.64,112.28,2.5,1.35,0.12,0.09,10,0.07,0.24,0.4,1.7,505,155.63,9.07,0.1,6.1,4.86,5.33,,,,307.98,8.59,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,Insufficient_Material,,
61049,18,TOP,61049_18_TOP,1.55,52.9,10.08,438.8,38.37,6.6,1.69,0.08,0.57,9,0.21,0.57,25.6,0.8,35,83.31,17.01,4.3,1.8,74.38,6.1,59.2,20.8,20.1,26.55,6.75,,,,,,,,,,,,,,,,,,,,,,,,
61049,18,BTM,61049_18_BTM,1.16,45.8,9.86,388.09,25.37,5.5,1.29,0.03,0.59,6,0.21,0.68,24,0.7,36,92.79,18.74,1.3,1.7,63.11,6.07,65,15,20.1,25.64,4.84,,,,,,,,,,,,,,,,,,,,,,,,
61049,19,TOP,61049_19_TOP,1.43,,8.37,623.99,57.62,7.8,1.07,0.05,0.53,10,0.27,2.67,13.7,0.5,42,329.88,55.66,12.1,13.2,72.18,6.21,62.4,22,15.7,89.17,14.88,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,,,
61049,19,BTM,61049_19_BTM,0.98,,5.56,502.28,37.72,4.9,0.69,0.05,0.51,12,0.19,0.68,5.7,0.3,20,110.92,18.55,1.3,4.7,74.47,6.58,62.4,22.1,15.6,37.5,4.24,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,,,
61049,20,TOP,61049_20_TOP,1.5,158.3,13.52,2915.34,108.81,5.5,1.12,0.08,0.56,6,0.16,0.5,11,0.2,31,140.42,21.91,0.6,2.7,47.97,6.01,55.6,28.3,16.1,47.96,2.91,,,,,,,,,,,,,,,,,,,,,,,,
61049,20,BTM,61049_20_BTM,1.33,,17.97,982.4,39.56,2.8,0.69,0.08,0.6,5,0.14,0.14,7.5,0.2,14,94.99,14.42,0.5,1.4,55.08,6.26,,,,17.49,0.79,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,Insufficient_Material,,
61049,21,TOP,61049_21_TOP,1.11,71.4,12.42,,,3.1,0.63,0.08,0.17,12,0.14,0.53,19.4,0.2,45,294.02,43.58,1.5,4.2,82.18,5.36,67.1,22.7,10.3,60.68,8.76,,,,Insufficient_Material,Insufficient_Material,,,,,,,,,,,,,,,,,,,
61049,21,BTM,61049_21_BTM,0.99,,14.68,,,1.6,0.45,0.1,0.1,16,0.14,0.09,2.7,0.2,12,128.31,15.34,0.4,2.2,15.4,5.8,,,,20.4,2.08,,Insufficient_Material,,Insufficient_Material,Insufficient_Material,,,,,,,,,,,,,,,,,Insufficient_Material,,
61049,22,TOP,61049_22_TOP,0.98,,2.37,397.91,28.4,3.5,0.72,0.07,0.28,5,0.18,0.4,10.8,0.1,43,82.19,12.96,,,9.19,6.28,,,,40.19,3.2,,Insufficient_Material,,,,,,,,,,,,,,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61049,22,BTM,61049_22_BTM,1.3,,2.79,530.11,34.26,,,,,,,,,,,97.91,13.34,,,7.93,6.26,,,,48.68,3.51,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61049,24,TOP,61049_24_TOP,1.49,213.9,25.3,833.77,62.98,15.4,3.65,0.09,0.44,10,0.79,0.74,3.3,0.4,7,214.25,53.61,5.6,3.4,1.27,8.04,54.8,25.1,20.2,24.66,6.19,,,,,,,,,,,,,,,,,,,,,,,,
61049,24,BTM,61049_24_BTM,2.19,,8.29,292.39,18.81,16.5,1.48,0.08,0.09,10,0.53,0.06,1.9,0.4,4,54.95,7.17,1,1.1,0.27,8.62,,,,13.33,1.81,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,Insufficient_Material,,
61049,25,TOP,61049_25_TOP,0.85,14.5,22.95,342.7,25.76,10.8,7.58,0.15,0.64,6,0.56,0.11,12.8,0.7,8,51.35,11.1,1.4,2.9,0.97,7.54,8.4,50.8,40.8,12.15,1.62,,,,,,,,,,,,,,,,,,,,,,,,
61049,25,BTM,61049_25_BTM,2.24,165.8,31.4,531.37,35.49,12.1,6.42,0.03,1.41,8,0.82,2.29,12.2,0.7,19,200.28,40.56,7.5,4.2,5.04,7.38,13.2,56.4,30.5,33.61,8.58,,,,,,,,,,,,,,,,,,,,,,,,
61049,26,TOP,61049_26_TOP,1.76,108,22.09,693.01,52.64,16.7,4.31,0.05,0.76,8,0.7,0.57,5.9,0.3,2,207.24,30.64,3,1.3,1.33,8.3,9.3,60.3,30.4,25.01,5.43,,,,,,,,,,,,,,,,,,,,,,,,
61049,26,BTM,61049_26_BTM,1.46,28.8,18.06,573.51,34,24.3,3.65,0.06,0.27,11,0.48,0.16,3,0.2,1,121.59,15.38,1.4,1.5,0.73,8.51,11.2,58.4,30.5,15.09,2.19,,,,,,,,,,,,,,,,,,,,,,,,
61049,27,TOP,61049_27_TOP,1.83,81.1,18.76,,,26.1,3.45,0.06,0.42,12,0.82,0.25,0.6,0.3,5,215.45,30.02,0.5,1.6,0.78,8.34,11,55.2,33.9,13.25,1.48,,,,Insufficient_Material,Insufficient_Material,,,,,,,,,,,,,,,,,,,
61049,27,BTM,61049_27_BTM,1.5,,18.44,647.93,25.59,,,,,,,,,,,79.43,9.95,,,0.76,8.5,,,,9.98,0.75,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61049,28,TOP,61049_28_TOP,1.74,125.5,25.13,911.43,62.52,14.3,5.18,0.07,0.67,8,0.61,0.63,7.2,0.2,2,165.05,21.52,3.5,2,1.52,7.93,11.1,55.1,33.9,20.56,5.52,,,,,,,,,,,,,,,,,,,,,,,,
61049,28,BTM,61049_28_BTM,1.54,,13.43,702.56,38.34,22.7,3.78,0.09,0.29,10,0.53,0.12,3.9,0.2,1,117.32,13.75,0.8,1.6,1.05,8.45,,,,16.72,2.3,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,Insufficient_Material,,
61049,29,TOP,61049_29_TOP,1.76,132.4,22.39,868.78,56.33,16.1,5.47,0.13,0.79,12,0.85,0.73,4.1,0.2,2,226.42,31.02,4.7,1.6,1.44,8.1,13.3,48.9,37.9,28.96,7.5,,,,,,,,,,,,,,,,,,,,,,,,
61049,29,BTM,61049_29_BTM,1.69,,16.96,522.51,30.58,22.9,4.17,0.1,0.35,11,0.62,0.11,3.9,0.1,1,157.05,20.01,1.6,1.5,0.8,8.39,,,,16.5,3.21,,Insufficient_Material,,,,,,,,,,,,,,,,,,,,Insufficient_Material,,
61051,1,TOP,61051_1_TOP,0.58,48.4,95.74,3964.44,130.67,,,,,,,,,,,332.58,35.39,,,13.76,4.7,25.3,54.8,20,103.85,4.8,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,1,BTM,61051_1_BTM,1.04,5.3,46.79,1444.56,49,,,,,,,,,,,178.27,12.06,,,12.39,5.32,15,63,22,22.14,1.8,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,2,TOP,61051_2_TOP,0.52,107.3,155.82,5170.73,133.83,,,,,,,,,,,529.32,69.53,,,32.21,4.64,25.3,54.7,20,201.75,7.37,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,2,BTM,61051_2_BTM,1.4,18.6,42.21,1875.99,35.24,,,,,,,,,,,134.64,12.64,,,4.19,4.81,29.1,50.9,20.1,35.47,1.56,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,3,TOP,61051_3_TOP,0.74,,45.28,1749.19,56.72,,,,,,,,,,,181.81,18.41,,,11.18,4.96,,,,52.6,2.75,,Insufficient_Material,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,,
61051,3,BTM,61051_3_BTM,1.52,8.3,25.3,1968.97,52.09,,,,,,,,,,,108.03,7.08,,,15.07,5.59,25.1,54.9,20.1,15.24,0.66,,,,,,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,Insufficient_Material,,,Insufficient_Material,Insufficient_Material,,,,,
61051,4,TOP,61051_4_TOP,1.18,8.8,44.99,2775.28,81.73,1.2,0.58,0.18,0.16,5,0.31,0.35,7.4,1.1,128,167.31,14.49,,,13.39,5.1,18.9,59.2,22,18.17,2.26,,,,,,,,,,,,,,,,,,Insufficient_Material,Insufficient_Material,,,,,
61051,4,BTM,61051_4_BTM,1.97,4,19.47,728.02,38.19,2.4,1.27,0.21,0.09,3,0.21,0.18,2.8,1.1,44,58.49,5.15,,,11.76,6.01,15,61,24.1,8.8,0.48,,,,,,,,,,,,,,,,,,Insufficient_Material,Insufficient_Material,,,,,
61051,5,TOP,61051_5_TOP,1.19,6.6,44.03,2486.06,72.71,1,0.47,0.09,0.2,4,0.43,0.25,5.6,1,126,121.92,9.96,,,14.86,5.16,23.1,56.9,20.1,17.47,2.82,,,,,,,,,,,,,,,,,,Insufficient_Material,Insufficient_Material,,,,,
