"Proposal_ID","Sampling_Set","Core_Section","Sample_Name","Bulk_density_g_per_cm3","GWC_percent","Ca_meq_per_100g","Mg_meq_per_100g","Na_meq_per_100g","K_meq_per_100g","SO4_S_mg_per_kg","B_mg_per_kg","Zn_mg_per_kg","Mn_mg_per_kg","Cu_mg_per_kg","Fe_mg_per_kg","MBC_mg_per_kg","MBN_mg_per_kg","NO3_N_mg_per_kg","NH4_N_mg_per_kg","PO4_P_mg_per_kg","pH","WEOM_TOC_mg_per_kg","WEOM_TN_mg_per_kg","flag_Bulk_density","flag_GWC","flag_B","flag_Ca","flag_Cu","flag_Fe","flag_K","flag_Mg","flag_Mn","flag_Na","flag_SO4S","flag_Zn","flag_MBC","flag_MBN","flag_NO3N","flag_NH4N","flag_P","flag_pH","flag_WEOM_TOC","flag_WEOM_TN"
"61049","30","TOP","61049_30_TOP","1.85","8.63","6.9","1.44","0.17","0.17","8","0.13","0.41","15.8","0.2","12",,,"0.6","4.74","5.79","6.48","27.84","3.04",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","30","BTM","61049_30_BTM","1.6","6.61","5.3","1","0.19","0.09","5","0.1","0.12","12.9","0.1","13",,,"0.21","1.9","2.03","6.05","13.97","0.8",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","31","TOP","61049_31_TOP","1.52","22.36","11.7","2.61","0.12","0.82","19","0.5","0.7","58","2","115",,,"39.9","65.17","22.35","6.72","31.75","58.27",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","31","BTM","61049_31_BTM","1.26","26.75","20.1","4.04","0.3","0.53","6","0.65","0.1","31.5","2","40",,,"4.52","1.57","1.8","5.44","4.13","6.26",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","32","TOP","61049_32_TOP","0.61","129.14",,,,,,,,,,,,,,,"9.56","4.45","164.1","11.24",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61049","32","BTM","61049_32_BTM","0.52","62.01",,,,,,,,,,,,,,,"3.66","4.36","45.63","2.71",,,"In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","In_Queue","Failed_QC","Failed_QC","In_Queue","In_Queue",,,,
"61049","33","TOP","61049_33_TOP","0.62","27.1","15.7","4.81","0.16","1.32","16","0.55","2.95","50","1","85",,,"1.61","8.56","4.66","6.43","75.31","7.96",,,,,,,,,,,,,"Data_Not_Available","Data_Not_Available",,,,,,
"61049","33","BTM","61049_33_BTM","1.62","19.07","14.2","5.18","0.14","0.86","10","0.6","0.15","62.5","1","25",,,"0.71","3.42","1.7","6.58","38.54","2.45",,,,,,,,,,,,,"Data_Not_Available","Data_Not_Available",,,,,,
"61049","35","TOP","61049_35_TOP","2.63","0.4","18.9","0.75","0.08","0.31","19","0.55","0.3","4","3.5","5",,,"0.99","1.28",,"7.55","36.04","3.17",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,"Data_Not_Available",,,
"61049","35","BTM","61049_35_BTM","2.09","1.61","19.2","1.19","0.1","0.19","5","0.6","0.15","15.5","4.5","5",,,"0.83","0.62","1.67","8.06","76.41","2.36",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","36","TOP","61049_36_TOP","0.76","74.08","1.9","0.62","0.23","0.21","15","0.4","0.1","3.5","0.5","20",,,"0.47","2.67","8.32","6.15","114.78","4.6",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","36","BTM","61049_36_BTM","1.15","43.27","7.8","1.67","0.2","0.4","21","0.35","2","43.5","0.5","120",,,"0.27","17.25","1.01","6.13","5.57","0.22",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","37","TOP","61049_37_TOP","2.08","12.06","5.9","1.12","0.16","0.37","16","0.45","1.25","19","0.5","45",,,"1.69","5.4","10.83","6.61","24.59","3.37",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
"61049","37","BTM","61049_37_BTM","1.48","9.37","4.4","1.05","0.15","0.33","5","0.4","0.35","17","0.5","30",,,"0.1","1.36","9.68","6.47","15.27","0.65",,,,,,,,,,,,,"Failed_QC","Failed_QC",,,,,,
