Proposal_ID,Sampling_Set,Lat,Lon,lat_lon
60141,1000S_ANZA,33.3053,-116.254,"33.3053, -116.254"
60141,1000S_BLAN,39.0594,-78.0721,"39.0594, -78.0721"
60141,1000S_CFS1,35.3828,-78.0382,"35.3828, -78.0382"
60141,1000S_CFS2,35.3833,-81.4342,"35.3833, -81.4342"
60141,1000S_CLBJ,33.4016,-97.5704,"33.4016, -97.5704"
60141,1000S_CPER,40.8191,-104.749,"40.8191, -104.749"
60141,1000S_DCFS,47.1631,-99.1092,"47.1631, -99.1092"
60141,1000S_DELA,32.542,-87.804,"32.542, -87.804"
60141,1000S_DSNY ,28.1258,-81.4342,"28.1258, -81.4342"
60141,1000S_FTA3,46.9216,-120.6586,"46.9216, -120.6586"
60141,1000S_FTA5,46.9045,-120.6241,"46.9045, -120.6241"
60141,1000S_GRSM ,35.6891,-85.5025,"35.6891, -85.5025"
60141,1000S_HARV,42.5367,-72.1757,"42.5367, -72.1757"
60141,1000S_ISCC,41.369,-91.6067,"41.369, -91.6067"
60141,1000S_ISNC,41.369,-91.6065,"41.369, -91.6065"
60141,1000S_JERC,31.1978,-84.4639,"31.1978, -84.4639"
60141,1000S_JORN ,32.5909,-106.8429,"32.5909, -106.8429"
60141,1000S_KONA,39.1101,-96.6122,"39.1101, -96.6122"
60141,1000S_KONZ,39.1009,-96.5628,"39.1009, -96.5628"
60141,1000S_LENO ,31.854,-88.161,"31.854, -88.161"
60141,1000S_MLBS,37.3779,-80.5244,"37.3779, -80.5244"
60141,1000S_MOAB ,38.2474,-109.3883,"38.2474, -109.3883"
60141,1000S_NIWO ,40.0516,-105.5831,"40.0516, -105.5831"
60141,1000S_NOGP,46.7704,-100.9136,"46.7704, -100.9136"
60141,1000S_NWBA,38.9939,-76.9778,"38.9939, -76.9778"
60141,1000S_NWBB,38.9941,-76.978,"38.9941, -76.978"
60141,1000S_NWBC,38.9943,-76.9782,"38.9943, -76.9782"
60141,1000S_OCTB,43.3055,-116.2432,"43.3055, -116.2432"
60141,1000S_OCTU,43.3055,-116.2432,"43.3055, -116.2432"
60141,1000S_OKPF,41.5519,-70.6354,"41.5519, -70.6354"
60141,1000S_ONAQ,40.1765,-112.4546,"40.1765, -112.4546"
60141,1000S_ORNL,35.9634,-84.2818,"35.9634, -84.2818"
60141,1000S_OSBS,29.6914,-81.9886,"29.6914, -81.9886"
60141,1000S_PETF,41.5532,-70.6398,"41.5532, -70.6398"
60141,1000S_PHTU,39.9827,-75.1542,"39.9827, -75.1542"
60141,1000S_PPRH,40.0503,-75.0333,"40.0503, -75.0333"
60141,1000S_PRS1,46.2517,-119.7287,"46.2517, -119.7287"
60141,1000S_PRS2,46.2518,-119.7288,"46.2518, -119.7288"
60141,1000S_PUUM,19.553,-155.3176,"19.553, -155.3176"
60141,1000S_RMNP,40.2033,-105.481,"40.2033, -105.481"
60141,1000S_SCBI,38.8896,-78.1387,"38.8896, -78.1387"
60141,1000S_SERC,38.8912,-76.5617,"38.8912, -76.5617"
60141,1000S_SJER,37.1112,-119.7365,"37.1112, -119.7365"
60141,1000S_SOAP,37.0337,-119.2637,"37.0337, -119.2637"
60141,1000S_SRER ,31.9114,-110.8359,"31.9114, -110.8359"
60141,1000S_SRR1,31.7999,-110.873,"31.7999, -110.873"
60141,1000S_STEI,45.8266,-90.0863,"45.8266, -90.0863"
60141,1000S_STER,40.463,-103.0305,"40.463, -103.0305"
60141,1000S_TALL ,32.9507,-87.3928,"32.9507, -87.3928"
60141,1000S_TREE,45.4932,-89.5827,"45.4932, -89.5827"
60141,1000S_UKFS,39.0407,-95.1916,"39.0407, -95.1916"
60141,1000S_UNDE,46.2334,-89.5397,"46.2334, -89.5397"
60141,1000S_UT12,40.8469,-109.7126,"40.8469, -109.7126"
60141,1000S_UT19,40.7018,-109.5818,"40.7018, -109.5818"
60141,1000S_UT23,40.6853,-109.5,"40.6853, -109.5"
60141,1000S_UT24,40.682,-109.6472,"40.682, -109.6472"
60141,1000S_UT32,40.6196,-109.6114,"40.6196, -109.6114"
60141,1000S_WLLO,39.2904,-76.7445,"39.2904, -76.7445"
60141,1000S_WLUP,39.2903,-76.7438,"39.2903, -76.7438"
60141,1000S_WOOD ,47.1284,-99.2394,"47.1284, -99.2394"
60141,1000S_WREF ,45.8249,-121.9607,"45.8249, -121.9607"
60141,1000S_WY01,44.9426,-109.7126,"44.9426, -109.7126"
60141,1000S_WY03,44.016,-109.1433,"44.016, -109.1433"
60141,1000S_WY09,43.5831,-109.9468,"43.5831, -109.9468"
60141,1000S_WY10,43.5826,-109.9718,"43.5826, -109.9718"
60141,1000S_WY15,42.5819,-108.751,"42.5819, -108.751"
