"call","Proposal_ID","Sampling_Set","lat_lon","geo_loc_name","soil_type","fao_class","cur_vegetation","ecoregion","cur_land_use","env_broad_scale","env_broad_NEW"
"FY23","60846","12","33.1455, -79.7903","United States: South Carolina, Low Country","Alfisol","Acrisols","Bottomland Harwoods","Southeast","hardwoods","__subtropical woodland biome [ENVO:01000222]","subtropical"
"FY23","60846","17","33.1402, -79.7788","United States: South Carolina, Low Country","Alfisol","Acrisols","Loblolly pine, recent harvest","Southeast","conifers","__subtropical woodland biome [ENVO:01000222]","subtropical"
"FY23","60846","2","33.1398, -79.7764","United States: South Carolina, Low Country","Alfisol","Acrisols","Loblolly pine, mature forest","Southeast","conifers","__subtropical woodland biome [ENVO:01000222]","subtropical"
"FY23","60846","5","33.1402, -79.7788","United States: South Carolina, Low Country","Alfisol","Acrisols","Bottomland Harwoods","Southeast","hardwoods","__subtropical woodland biome [ENVO:01000222]","subtropical"
"FY23","60846","7","33.1502, -79.7891","United States: South Carolina, Low Country","Alfisol","Acrisols","Flatwoods - Mixed pine+hardwoods","Southeast","hardwoods","__subtropical woodland biome [ENVO:01000222]","subtropical"
"FY23","60880","1","30.0135, -94.5009","United States: Texas, Beaumont, Vamont Series","Vertisol","","Grass/Pasture","Southeast","pastureland","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60880","2","31.4861, -96.8935","United States: Texas, ARS Research Facility, Temple, Riesel Series","Vertisol","","Prairie","Southern Plains","meadows","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60880","3","34.0486, -93.1034","United States: Arkansas, Agriculture Land","Vertisol","","Prairie at border of agricultural land","Ozarks Complex","industrial areas","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60880","4","32.2646, -85.9956","United States: Alabama, Cecil","Vertisol","","Longleaf Pine","Ozarks Complex","conifers","__temperate woodland biome [ENVO:01000221]","temperate"
"FY23","60880","5","32.3000, -86.0539","United States: Alabama, Cecil","Vertisol","","Hardwood","Ozarks Complex","hardwoods","__temperate woodland biome [ENVO:01000221]","temperate"
"FY23","60880","6","32.5838, -85.4220","United States: Alabama, Cecil","Vertisol","","Longleaf Pine","Ozarks Complex","conifers","__temperate woodland biome [ENVO:01000221]","temperate"
"FY23","60881","1","41.2097, -104.8634","United States: Wyoming, Cheyenne","Aridisol","","Grass, Shrub","Central Plains","pastureland","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60881","2","41.2096, -104.8636","United States: Wyoming, Cheyenne","Aridisol","","Grass, Shrub","Central Plains","pastureland","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60881","3","41.2097, -104.8640","United States: Wyoming, Cheyenne","Aridisol","","Grass, Shrub","Central Plains","pastureland","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60881","4","41.2128, -104.8520","United States: Wyoming, Cheyenne","Aridisol","","Grass, Shrub","Central Plains","pastureland","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60881","5","41.2131, -104.8522","United States: Wyoming, Cheyenne","Aridisol","","Grass, Shrub","Central Plains","pastureland","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60881","6","41.2132, -104.8523","United States: Wyoming, Cheyenne","Aridisol","","Grass, Shrub","Central Plains","pastureland","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60886","1","38.8034, -94.0436","United States: Missouri, Holden","Mollisol","","Maize","Prairie Peninsula","row crops","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60886","2","38.8034, -94.0436","United States: Missouri, Holden","Mollisol","","Maize","Prairie Peninsula","row crops","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60886","3","38.8034, -94.0436","United States: Missouri, Holden","Mollisol","","Maize","Prairie Peninsula","row crops","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60886","4","38.8034, -94.0436","United States: Missouri, Holden","Mollisol","","Maize","Prairie Peninsula","row crops","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60886","5","38.8034, -94.0436","United States: Missouri, Holden","Mollisol","","Maize","Prairie Peninsula","row crops","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60886","6","38.8034, -94.0436","United States: Missouri, Holden","Mollisol","","Maize","Prairie Peninsula","row crops","terrestrial biome [ENVO:00000446]","terrestrial"
"FY23","60920","1","68.6098, -149.3122","United States: Alaska, Imnavait Creek","Gelisol","","intertussock","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","10","68.6357, -149.5868","United States: Alaska, Toolik Lake","Gelisol","","tall shrub","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","11","68.6249, -149.6013","United States: Alaska, Toolik Lake","Gelisol","","shrub","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","12","68.6251, -149.6017","United States: Alaska, Toolik Lake","Gelisol","","wet sedge","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","2","68.6098, -149.3121","United States: Alaska, Imnavait Creek","Gelisol","","tussock","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","3","68.6098, -149.3125","United States: Alaska, Imnavait Creek","Gelisol","","non-tussock tundra","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","4","68.6097, -149.3136","United States: Alaska, Imnavait Creek","Gelisol","","wet sedge","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","5","68.6172, -149.3174","United States: Alaska, Imnavait Creek","Gelisol","","shrub","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","6","68.6345, -149.6431","United States: Alaska, Toolik Lake","Gelisol","","non-acidic intertussock","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","7","68.6336, -149.6328","United States: Alaska, Toolik Lake","Gelisol","","non-acidic non-tussock tundra","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","8","68.6234, -149.6109","United States: Alaska, Toolik Lake","Gelisol","","intertussock","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60920","9","68.6232, -149.6108","United States: Alaska, Toolik Lake","Gelisol","","tussock","Tundra","tundra","polar biome [ENVO:01000339]","polar"
"FY23","60921","1","44.217282, -122.260051","United States: Oregon, Lane County","Inceptisol","","Douglas-fir","Great Basin","conifers","____mediterranean woodland biome [ENVO:01000208]","subtropical"
"FY23","60921","2","44.217583, -122.260417","United States: Oregon, Lane County","Inceptisol","","Douglas-fir","Great Basin","conifers","____mediterranean woodland biome [ENVO:01000208]","subtropical"
"FY23","60921","3","44.217282, -122.260051","United States: Oregon, Lane County","Inceptisol","","Douglas-fir","Great Basin","conifers","____mediterranean woodland biome [ENVO:01000208]","subtropical"
"FY23","60921","4","44.217583, -122.260417","United States: Oregon, Lane County","Inceptisol","","Douglas-fir","Great Basin","conifers","____mediterranean woodland biome [ENVO:01000208]","subtropical"
"FY23","60923","1","31.0450, -97.3484","United States: Texas,Temple USDA-ARS","Vertisol","","Switchgrass - Kanlow","Southern Plains","row crops","arid biome [ENVO:01001838]","arid"
"FY23","60923","10","38.8997, -92.2139","United States: Missouri, Columbia","Alfisol","","Switchgrass - Kanlow","Prairie Peninsula","row crops","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60923","11","38.8996, -92.2139","United States: Missouri, Columbia","Alfisol","","Switchgrass - Blackwell","Prairie Peninsula","row crops","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60923","12","38.9000, -92.2141","United States: Missouri, Columbia","Alfisol","","Switchgrass - Blackwell","Prairie Peninsula","row crops","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60923","13","38.8998, -92.2141","United States: Missouri, Columbia","Alfisol","","Switchgrass - Kanlow","Prairie Peninsula","row crops","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60923","14","38.8998, -92.2141","United States: Missouri, Columbia","Alfisol","","None","Prairie Peninsula","row crops","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60923","15","41.8367, -88.2395","United States: Illinois, Fermilab","Mollisol","","Switchgrass - Kanlow","Prairie Peninsula","row crops","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60923","16","41.8366, -88.2395","United States: Illinois, Fermilab","Mollisol","","Switchgrass - Blackwell","Prairie Peninsula","row crops","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60923","17","41.8368, -88.2396","United States: Illinois, Fermilab","Mollisol","","Switchgrass - Kanlow","Prairie Peninsula","row crops","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60923","18","41.8365, -88.2396","United States: Illinois, Fermilab","Mollisol","","Switchgrass - Blackwell","Prairie Peninsula","row crops","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60923","19","41.8368, -88.2399","United States: Illinois, Fermilab","Mollisol","","Switchgrass - Kanlow","Prairie Peninsula","row crops","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60923","2","31.0454, -97.3482","United States: Texas,Temple USDA-ARS","Vertisol","","Switchgrass - Blackwell","Southern Plains","row crops","arid biome [ENVO:01001838]","arid"
"FY23","60923","20","41.8365, -88.2399","United States: Illinois, Fermilab","Mollisol","","Switchgrass - Blackwell","Prairie Peninsula","row crops","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60923","21","41.8367, -88.2399","United States: Illinois, Fermilab","Mollisol","","None","Prairie Peninsula","row crops","__temperate savanna biome [ENVO:01000189]","temperate"
"FY23","60923","3","31.0449, -97.3483","United States: Texas,Temple USDA-ARS","Vertisol","","Switchgrass - Blackwell","Southern Plains","row crops","arid biome [ENVO:01001838]","arid"
"FY23","60923","4","31.0451, -97.3482","United States: Texas,Temple USDA-ARS","Vertisol","","Switchgrass - Kanlow","Southern Plains","row crops","arid biome [ENVO:01001838]","arid"
"FY23","60923","5","31.0450, -97.3481","United States: Texas,Temple USDA-ARS","Vertisol","","Switchgrass - Blackwell","Southern Plains","row crops","arid biome [ENVO:01001838]","arid"
"FY23","60923","6","31.0453, -97.3479","United States: Texas,Temple USDA-ARS","Vertisol","","Switchgrass - Kanlow","Southern Plains","row crops","arid biome [ENVO:01001838]","arid"
"FY23","60923","7","31.0451, -97.3481","United States: Texas,Temple USDA-ARS","Vertisol","","None","Southern Plains","row crops","arid biome [ENVO:01001838]","arid"
"FY23","60923","8","38.8998, -92.2138","United States: Missouri, Columbia","Alfisol","","Switchgrass - Kanlow","Prairie Peninsula","row crops","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60923","9","38.8997, -92.2138","United States: Missouri, Columbia","Alfisol","","Switchgrass - Blackwell","Prairie Peninsula","row crops","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60929","1","45.4478, -112.5838","United States: Montana, Dillon","Aridisol","","Grass","Northern Rockies","shrub land","____temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60929","2","45.2255, -112.1156","United States: Montana, Alder","Aridisol","","Grass","Northern Rockies","shrub land","____temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60929","3","45.6212, -111.5687","United States: Montana, Norris","Aridisol","","Grass","Northern Rockies","shrub land","____temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60932","1","37.2189, -76.4100","United States: Virginia, Goodwin","Histosol","","Spartina","Mid Atlantic","marshlands","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60932","2","37.2191, -76.4092","United States: Virginia, Goodwin","Histosol","","Phragmite","Mid Atlantic","marshlands","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60932","3","37.2191, -76.4085","United States: Virginia, Goodwin","Histosol","","Pines","Mid Atlantic","intermixed","__temperate woodland biome [ENVO:01000221]","temperate"
"FY23","60932","4","37.5665, -76.8972","United States: Virginia, Sweet Hall","Histosol","","Phragmite","Mid Atlantic","marshlands","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60932","5","37.5687, -76.8966","United States: Virginia, Sweet Hall","Histosol","","Phragmite","Mid Atlantic","swamp","__temperate shrubland biome [ENVO:01000215]","temperate"
"FY23","60932","6","37.5710, -76.8954","United States: Virginia, Sweet Hall","Histosol","","Pines","Mid Atlantic","intermixed","__temperate woodland biome [ENVO:01000221]","temperate"
"FY23","60933","1","38.8536, -107.0664","United States: Colorado, Crested Butte","Entisol","","Alpine Forest","Southern Rockies / Colorado Plateau","conifers","subalpine biome [ENVO:01001837]","subalpine"
