sample_name,annual_precpt,annual_temp,bulk_elect_conductivity,collection_date,collection_time,cur_land_use,cur_vegetation,depth,ecoregion,elev,env_broad_scale,env_local_scale,env_medium,geo_loc_name,growth_facil,infiltration_1,infiltration_2,infiltration_notes,lat_lon,misc_param,other,other_treatment,previous_land_use,samp_store_temp,sample_collection_dev,sampling_set,shipped_sample_size,soil_type,soil_type_meth,storage_condt,temp,water_content,watering_regm,weather,agrochem_addition,chem_administration,crop_rotation,drainage_class,extreme_event,fao_class,fire,flooding,link_climate_info,neon_plot_id,previous_land_use_meth,season_precpt,season_temp,slope_aspect,slope_gradient,tillage
60846_12_A,1370 mm,18.5 C,0.092 mS/cm,2023-08-22,09:10:00 hh:mm:ss,hardwoods,Bottomland Harwoods,0-30 cm,Southeast,4.34 m,__subtropical woodland biome [ENVO:01000222],______depressed landform [ENVO:00000309],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,00:06 mm:ss,00:16 mm:ss,,"33.1455, -79.7903",,"soil type: Meggett, Berkeley County, SC Soil Survey; flooding: regularly flooded",,agriculture ~1870s,4 C,slide hammer corer 7.5X30 cm,12,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.7 C,did not collect,untreated,,,untreated,,Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,https://doi.org/10.2737/SRS-GTR-155,,,,,
60846_12_B,1370 mm,18.5 C,0.092 mS/cm,2023-08-22,09:20:00 hh:mm:ss,hardwoods,Bottomland Harwoods,0-30 cm,Southeast,4.34 m,__subtropical woodland biome [ENVO:01000222],______depressed landform [ENVO:00000309],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,00:06 mm:ss,00:16 mm:ss,,"33.1455, -79.7903",,"soil type: Meggett, Berkeley County, SC Soil Survey; flooding: regularly flooded",,agriculture ~1870s,4 C,slide hammer corer 7.5X30 cm,12,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.7 C,did not collect,untreated,,,untreated,,Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,https://doi.org/10.2737/SRS-GTR-155,,,,,
60846_12_C1,1370 mm,18.5 C,0.092 mS/cm,2023-08-22,09:10:00 hh:mm:ss,hardwoods,Bottomland Harwoods,0-10 cm,Southeast,4.34 m,__subtropical woodland biome [ENVO:01000222],______depressed landform [ENVO:00000309],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,00:06 mm:ss,00:16 mm:ss,,"33.1455, -79.7903",,"soil type: Meggett, Berkeley County, SC Soil Survey; flooding: regularly flooded",,agriculture ~1870s,4 C,hand collected 5X10 cm,12,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.7 C,did not collect,untreated,,,untreated,,Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,https://doi.org/10.2737/SRS-GTR-155,,,,,
60846_12_C2,1370 mm,18.5 C,0.092 mS/cm,2023-08-22,09:15:00 hh:mm:ss,hardwoods,Bottomland Harwoods,0-10 cm,Southeast,4.34 m,__subtropical woodland biome [ENVO:01000222],______depressed landform [ENVO:00000309],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,00:06 mm:ss,00:16 mm:ss,,"33.1455, -79.7903",,"soil type: Meggett, Berkeley County, SC Soil Survey; flooding: regularly flooded",,agriculture ~1870s,4 C,hand collected 5X10 cm,12,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.7 C,did not collect,untreated,,,untreated,,Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,https://doi.org/10.2737/SRS-GTR-155,,,,,
60846_12_C3,1370 mm,18.5 C,0.092 mS/cm,2023-08-22,09:20:00 hh:mm:ss,hardwoods,Bottomland Harwoods,0-10 cm,Southeast,4.34 m,__subtropical woodland biome [ENVO:01000222],______depressed landform [ENVO:00000309],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,00:06 mm:ss,00:16 mm:ss,,"33.1455, -79.7903",,"soil type: Meggett, Berkeley County, SC Soil Survey; flooding: regularly flooded",,agriculture ~1870s,4 C,hand collected 5X10 cm,12,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.7 C,did not collect,untreated,,,untreated,,Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,https://doi.org/10.2737/SRS-GTR-155,,,,,
60846_12_C4,1370 mm,18.5 C,0.092 mS/cm,2023-08-22,09:25:00 hh:mm:ss,hardwoods,Bottomland Harwoods,0-10 cm,Southeast,4.34 m,__subtropical woodland biome [ENVO:01000222],______depressed landform [ENVO:00000309],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,00:06 mm:ss,00:16 mm:ss,,"33.1455, -79.7903",,"soil type: Meggett, Berkeley County, SC Soil Survey; flooding: regularly flooded",,agriculture ~1870s,4 C,hand collected 5X10 cm,12,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.7 C,did not collect,untreated,,,untreated,,Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,https://doi.org/10.2737/SRS-GTR-155,,,,,
60846_17_A,1370 mm,18.5 C,0.015 mS/cm,2023-08-21,08:30:00 hh:mm:ss,conifers,"Loblolly pine, recent harvest",0-30 cm,Southeast,7.27 m,__subtropical woodland biome [ENVO:01000222],__plain [ENVO:00000086],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,04:07 mm:ss,07:59 mm:ss,,"33.1402, -79.7788",,"soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)",,forest,4 C,slide hammer corer 7.5X30 cm,17,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.6 C,did not collect,untreated,,,untreated,,Somewhat_Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,,,,,,
60846_17_B,1370 mm,18.5 C,0.015 mS/cm,2023-08-21,08:40:00 hh:mm:ss,conifers,"Loblolly pine, recent harvest",0-30 cm,Southeast,7.27 m,__subtropical woodland biome [ENVO:01000222],__plain [ENVO:00000086],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,04:07 mm:ss,07:59 mm:ss,,"33.1402, -79.7788",,"soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)",,forest,4 C,slide hammer corer 7.5X30 cm,17,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.6 C,did not collect,untreated,,,untreated,,Somewhat_Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,,,,,,
60846_17_C1,1370 mm,18.5 C,0.015 mS/cm,2023-08-21,08:25:00 hh:mm:ss,conifers,"Loblolly pine, recent harvest",0-10 cm,Southeast,7.27 m,__subtropical woodland biome [ENVO:01000222],__plain [ENVO:00000086],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,04:07 mm:ss,07:59 mm:ss,,"33.1402, -79.7788",,"soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)",,forest,4 C,hand collected 5X10 cm,17,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.6 C,did not collect,untreated,,,untreated,,Somewhat_Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,,,,,,
60846_17_C2,1370 mm,18.5 C,0.015 mS/cm,2023-08-21,08:30:00 hh:mm:ss,conifers,"Loblolly pine, recent harvest",0-10 cm,Southeast,7.27 m,__subtropical woodland biome [ENVO:01000222],__plain [ENVO:00000086],ultisol [ENVO:01001397],"United States: South Carolina, Low Country",field,04:07 mm:ss,07:59 mm:ss,,"33.1402, -79.7788",,"soil type: Wahee, Berkeley County, SC Soil Survey; fire: regular prescribed fire (3-4 yrs)",,forest,4 C,hand collected 5X10 cm,17,1 core,Alfisol,https://www.nrcs.usda.gov/resources/education-and-teaching-materials/the-twelve-orders-of-soil-taxonomy,fresh,25.6 C,did not collect,untreated,,,untreated,,Somewhat_Poorly,,Acrisols,,,Forest Service Research Data Archive (usda.gov),,,,,,,
