Domain	Phylum	Class	Order	Family	Genus
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	KBS-83
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Gp1-AA117	Gp1-AA17
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Gp1-AA117	Gp1-AA17
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Gp1-AA117	None
Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCYV01
Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum
Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum
Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Palsa-295
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	BOG-234
Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	PALSA-243
Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	Gp6-AA45
Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	RAAP-2	Bog-473
Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium
Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium
Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Trebonia
Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	UBA9676
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Palsa-739
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	None
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-744
Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Cybelea
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	None
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Palsa-883
Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	AP-16
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Schlegelella_A
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Schlegelella_A
Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquirickettsiella
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358
